_embedded_show_id,_embedded_show_url,_embedded_show_name,_embedded_show_type,_embedded_show_language,_embedded_show_genres,_embedded_show_status,_embedded_show_runtime,_embedded_show_averageRuntime,_embedded_show_premiered,_embedded_show_ended,_embedded_show_officialSite,_embedded_show_weight,_embedded_show_webChannel,_embedded_show_dvdCountry,_embedded_show_summary,_embedded_show_updated
12906,https://www.tvmaze.com/shows/12906/huskestue,Huskestue,Game Show,Norwegian,['Comedy'],Running,,43.0,2015-04-08,,https://play.tv2.no/programmer/underholdning/huskestue/,70,"{'id': 327, 'name': 'TV 2 Play', 'country': {'name': 'Norway', 'code': 'NO', 'timezone': 'Europe/Oslo'}, 'officialSite': None}",,"<p>In <b>Huskestue</b>, two teams of medium-intelligent celebrities try to answer medium difficult questions. If the participants respond incorrectly, physical punishment often awaits.</p>",1651234374
49524,https://www.tvmaze.com/shows/49524/30-monedas,30 Monedas,Scripted,Spanish,"['Horror', 'Thriller', 'Mystery']",Running,60.0,64.0,2020-11-29,,https://es.hboespana.com/series/30-coins/37b0ccfe-0bf1-489e-b2a3-cae9f6307eb6,88,,,"<p>Father Vergara is an exorcist, boxer and ex-convict who is exiled by the church to be the priest of a remote town in Spain. He wants to forget and be forgotten, but his enemies will soon find him. Strange things begin to happen, and an unlikely task force of Mayor Paco and local vet Elena seek the truth, whilst reality is distorted by a cursed coin which is at the heart of a global conspiracy.  </p>",1648334894
52156,https://www.tvmaze.com/shows/52156/by-ana-milan,By Ana Milán,Scripted,Spanish,['Comedy'],Running,,,2020-11-08,,https://www.atresplayer.com/series/byanamilan/,25,"{'id': 377, 'name': 'ATRESplayer PREMIUM', 'country': {'name': 'Spain', 'code': 'ES', 'timezone': 'Europe/Madrid'}, 'officialSite': None}",,,1623611405
52545,https://www.tvmaze.com/shows/52545/fisica-o-quimica-el-reencuentro,Física o química: El reencuentro,Scripted,Spanish,['Drama'],Ended,,66.0,2020-12-27,2021-01-03,https://www.atresplayer.com/series/fisica-o-quimica-el-reencuentro/,28,"{'id': 377, 'name': 'ATRESplayer PREMIUM', 'country': {'name': 'Spain', 'code': 'ES', 'timezone': 'Europe/Madrid'}, 'officialSite': None}",,<p>The old classmates of the Zurbaran school reunite in the wake of a secret that they all kept and has greatly affected their lives.</p>,1647575077
53467,https://www.tvmaze.com/shows/53467/labyrint,Labyrint,Scripted,Norwegian,"['Comedy', 'Children']",Running,,30.0,2013-12-22,,https://tv.nrk.no/serie/labyrint,14,"{'id': 238, 'name': 'NRK TV', 'country': {'name': 'Norway', 'code': 'NO', 'timezone': 'Europe/Oslo'}, 'officialSite': None}",,"<p>In Daidalos' underwater Labyrinth, exciting tasks, scary robot creatures and slime await.</p>",1612980960
30606,https://www.tvmaze.com/shows/30606/scishow,SciShow,Documentary,English,[],Running,,9.0,2012-01-02,,https://www.youtube.com/user/scishow/,10,"{'id': 21, 'name': 'YouTube', 'country': None, 'officialSite': 'https://www.youtube.com'}",,"<p><b>SciShow</b> explores the unexpected. Seven days a week, Hank Green, Michael Aranda, and Olivia Gordon delve into the scientific subjects that defy our expectations and make us even more curious!</p><p>Schedule:</p><p>Sundays — Learn about the amazing topics we can't quite make a stand-alone show about in SciShow List Show!</p><p>Mondays — Tune in for a short Dose about our weird world.</p><p>Tuesdays — Find answers to our most asked Quick Questions.</p><p>Wednesdays — Hank or Michael dives deep into a long-form Infusion episode, or an unscripted talk show or quiz show with a guest!</p><p>Thursday — Another new dose about the wonders of the world.</p><p>Fridays — Learn the latest in science News.</p><p>Saturdays — Get your quick questions answered!</p>",1644762005
39314,https://www.tvmaze.com/shows/39314/friheden,Friheden,Scripted,Danish,"['Drama', 'Comedy', 'Crime']",Running,45.0,45.0,2018-10-24,,https://viaplay.dk/serier/friheden,73,"{'id': 103, 'name': 'Viaplay', 'country': None, 'officialSite': 'https://viaplay.com'}",,"<p>Some 20 years ago, Nina and Erik were brilliant con-artists. Now, they live a peaceful family life in the suburbs of Copenhagen, although their marriage is somewhat lackluster, and they have trouble making ends meet. One day, their partner in crime from the old days, Jacqueline, reappears with a new idea for a scam with plenty of money to be made!</p>",1621567285
42899,https://www.tvmaze.com/shows/42899/redakcia,Редакция,Talk Show,Russian,[],Running,40.0,57.0,2019-03-17,,https://www.youtube.com/channel/UC1eFXmJNkjITxPFWTy6RsWg,70,"{'id': 21, 'name': 'YouTube', 'country': None, 'officialSite': 'https://www.youtube.com'}",,"<p>The author's journalistic program of Alexey Pivovarov, where he asks questions and interviews guests, makes reports on actual themes, as well as on entertaining topics.</p>",1651749165
43141,https://www.tvmaze.com/shows/43141/bani-negri-pentru-zile-albe,Bani negri (pentru zile albe),Scripted,Romanian,['Comedy'],To Be Determined,60.0,60.0,2020-11-22,,https://hbogo.ro/seriale/bani-negri-pentru-zile-albe,44,"{'id': 22, 'name': 'HBO Go', 'country': None, 'officialSite': None}",,"<p>Features two lovable losers joking about committing the ""perfect crime."" The series revolves around the events that unfold when the joke backfires and the pair is forced to actually commit the robbery, for which they are totally unprepared.</p>",1649176744
49139,https://www.tvmaze.com/shows/49139/cuzie-pisma,Чужие письма,Talk Show,Russian,[],Running,50.0,59.0,2020-04-21,,https://www.youtube.com/channel/UC4g4YABfz_vEwmZLjtF2Zjw,2,"{'id': 21, 'name': 'YouTube', 'country': None, 'officialSite': 'https://www.youtube.com'}",,,1649572594
