_embedded_show_id,_embedded_show_url,_embedded_show_name,_embedded_show_type,_embedded_show_language,_embedded_show_genres,_embedded_show_status,_embedded_show_runtime,_embedded_show_averageRuntime,_embedded_show_premiered,_embedded_show_ended,_embedded_show_officialSite,_embedded_show_weight,_embedded_show_network,_embedded_show_dvdCountry,_embedded_show_summary,_embedded_show_updated
52181,https://www.tvmaze.com/shows/52181/volk,Волк,Scripted,Russian,"['Drama', 'Adventure', 'Mystery']",Ended,51.0,50.0,2020-12-07,2020-12-28,https://premier.one/show/12339,25,,,,1640435531
52181,https://www.tvmaze.com/shows/52181/volk,Волк,Scripted,Russian,"['Drama', 'Adventure', 'Mystery']",Ended,51.0,50.0,2020-12-07,2020-12-28,https://premier.one/show/12339,25,,,,1640435531
56655,https://www.tvmaze.com/shows/56655/going-seventeen,Going Seventeen,Variety,Korean,[],Running,30.0,30.0,2017-06-12,,,18,,,"<p>Initially a series of behind-the-scenes vlogs, <b>Going Seventeen</b> has taken a more structured route since mid-2019 and is now a reality-variety show with themed episodes. Every week, the members of Seventeen play games or participate in a variety of activities for everyone's delight and entertainment. Season 2021's keyword is ""Watch What You Say"", meaning that anything the members say can and will be turned into content...</p>",1651763872
50916,https://www.tvmaze.com/shows/50916/my-little-invisible-being,My Little Invisible Being,Animation,Chinese,"['Comedy', 'Anime']",Running,5.0,5.0,2020-10-05,,https://www.bilibili.com/bangumi/media/md28229943/,3,,,"<p>One day in 20XX, the alien pig prince who planned to take a human body as his home arrived on Earth, but unexpectedly discovered that the human being he wanted to live in had not yet been born! The pig prince, who has nowhere to settle down, got to know Saiji and Rubi. The three pulled various funny pranks on humans, causing humans to have baldness, bad breath, headaches, emotional crisis and other problems.</p>",1602172227
54610,https://www.tvmaze.com/shows/54610/the-wonderland-of-ten-thousands,The Wonderland of Ten Thousands,Animation,Chinese,"['Anime', 'Fantasy', 'Romance']",Running,10.0,10.0,2018-03-30,,https://v.qq.com/detail/5/5cuf8ahvxvm2587.html,65,,,"<p>The master of Ye Xing Yun will ascend to heaven, leaving behind the great strength of the Tian Yuan Sect, and Ye Xing Yun making the new Sovereign of the Tian Yuan Sect, and at the request of his master, seek revenge by entering into a small family while waiting to perform revenge. Ye Xing Yun embarks on an extremely dangerous road, but with his strategy, and with the help of the masters of the Tian Yuan Sect, his long-term strategy of confrontation with the huge Zhou dynasty.</p>",1646255733
54762,https://www.tvmaze.com/shows/54762/youths-in-the-breeze,Youths in the Breeze,Scripted,Chinese,"['Drama', 'Fantasy']",Ended,7.0,7.0,2020-12-13,2020-12-22,https://v.youku.com/v_show/id_XNDk4OTUxMzg1Mg==.html?spm=a2hbt.13141534.0.13141534&s=6eefbfbd4befbfbd32ef,28,,,"<p>The play consists of three youth stories. ""He and Meow"": The cat Jiang Xiao Kui and his owner Jiang Qing from the cat kingdom live a happy life. Until Jiang Qing's younger brother Jiang Xia returned home. Xia, who was allergic to cats, and Jiang Xiao Kui, who hated his younger brother, started a battle over sister's favor. ""Full-time rival"": Xu Tian Yi and Li Shi Lin, who had been at odds for a long time, reunited during the summer sprint training. In the process of competing against each other, their misunderstanding was resolved. Just when the two worked together to enter the team, an accident happened. ""The Man in the Story"": Yu Sheng, a young man, accidentally discovered that he turned out to be a character in Xu Mo's novel. After learning about the tragic ending of himself and his sister, he came to the real world to fight with the writer in an attempt to change his destiny.</p><p><br /> </p>",1618466682
54762,https://www.tvmaze.com/shows/54762/youths-in-the-breeze,Youths in the Breeze,Scripted,Chinese,"['Drama', 'Fantasy']",Ended,7.0,7.0,2020-12-13,2020-12-22,https://v.youku.com/v_show/id_XNDk4OTUxMzg1Mg==.html?spm=a2hbt.13141534.0.13141534&s=6eefbfbd4befbfbd32ef,28,,,"<p>The play consists of three youth stories. ""He and Meow"": The cat Jiang Xiao Kui and his owner Jiang Qing from the cat kingdom live a happy life. Until Jiang Qing's younger brother Jiang Xia returned home. Xia, who was allergic to cats, and Jiang Xiao Kui, who hated his younger brother, started a battle over sister's favor. ""Full-time rival"": Xu Tian Yi and Li Shi Lin, who had been at odds for a long time, reunited during the summer sprint training. In the process of competing against each other, their misunderstanding was resolved. Just when the two worked together to enter the team, an accident happened. ""The Man in the Story"": Yu Sheng, a young man, accidentally discovered that he turned out to be a character in Xu Mo's novel. After learning about the tragic ending of himself and his sister, he came to the real world to fight with the writer in an attempt to change his destiny.</p><p><br /> </p>",1618466682
55019,https://www.tvmaze.com/shows/55019/supreme-god-emperor,Supreme God Emperor,Animation,Chinese,['Anime'],Running,10.0,10.0,2020-05-18,,https://v.qq.com/detail/m/mzc00200ilydv1a.html,63,,,"<p>Ten thousand years ago, Muyun's fairy King was secretly accounted for by holding a Zhuxian figure, and after a long sleep, he awakened in the famous ""Muyun waste"" of the southern Yun Empire in the Land of Heaven. When Muyun first woke up, he was deliberately bothered by the student Miaoxianyu. Muyun easily completed the Miaoxianyu trap, and he gave more and more alchemy skills by analogy, so the Alchemy masters outside the door could not ask for appreciation. Endless back home, Mu Yun learns that he is about to marry Nona Qin Qin Mengyao. Qin Mengyao was cold and toxic, but could not live until he was 20 years old. The marriage was only for the sake of pastoralists and family of Qin. However, under Mu Linchen's enticement, Mu Yun approves the family's issue on the condition of alchemy.</p><p><br /> </p>",1642201887
50752,https://www.tvmaze.com/shows/50752/stjernestov,Stjernestøv,Scripted,Norwegian,"['Drama', 'Children', 'Family']",Ended,20.0,20.0,2020-12-01,2020-12-24,https://tv.nrk.no/serie/stjernestoev,22,,,"<p>The parents get divorced and Jo has to move to a new place. One day, Nordstjerna goes out, and Jo discovers that a girl with magical powers lives in the attic.</p>",1611436842
26268,https://www.tvmaze.com/shows/26268/slepaa,Слепая,Scripted,Russian,['Drama'],Running,25.0,25.0,2014-08-18,,http://tv3.ru/project/slepaya,11,"{'id': 514, 'name': 'ТВ-3', 'country': {'name': 'Russian Federation', 'code': 'RU', 'timezone': 'Asia/Kamchatka'}, 'officialSite': None}",,,1647379162
