id,url,name,season,number,type,airdate,airtime,airstamp,runtime,rating,image,summary,_links,_embedded
1977902,https://www.tvmaze.com/episodes/1977902/obycnaa-zensina-2x06-seria-15,Серия 15,2,6.0,regular,2020-12-31,10:00,2020-12-30T22:00:00+00:00,56.0,{'average': None},"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/291/728565.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/291/728565.jpg'}",,{'self': {'href': 'https://api.tvmaze.com/episodes/1977902'}},"{'show': {'id': 39115, 'url': 'https://www.tvmaze.com/shows/39115/obycnaa-zensina', 'name': 'Обычная женщина', 'type': 'Scripted', 'language': 'Russian', 'genres': ['Drama', 'Crime', 'Mystery'], 'status': 'Ended', 'runtime': 50, 'averageRuntime': 48, 'premiered': '2018-10-29', 'ended': '2021-01-07', 'officialSite': 'https://premier.one/show/8405', 'schedule': {'time': '22:00', 'days': ['Monday', 'Tuesday', 'Wednesday', 'Thursday']}, 'rating': {'average': 7.7}, 'weight': 36, 'network': None, 'webChannel': {'id': 281, 'name': 'Premier', 'country': {'name': 'Russian Federation', 'code': 'RU', 'timezone': 'Asia/Kamchatka'}, 'officialSite': None}, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': 345280, 'imdb': 'tt8561620'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/289/722910.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/289/722910.jpg'}, 'summary': ""<p>Marina is in her late 30s, she has a successful business and a close-knit family. Her husband is a surgeon and her daughters study at fancy establishments. To everybody her life seems perfect. Though, it is all just a facade concealing the real problems: her husband has a mistress, her elder daughter is a slacker and drug-dealer, her youngest is a sociopath. Well, Marina herself is not really a flower-lady, but a brothel-keeper who is hiding her dark business from everyone. The truth may come out when a girl of Marina's is found dead.</p>"", 'updated': 1610110841, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/39115'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/1977905'}}}}"
2015818,https://www.tvmaze.com/episodes/2015818/po-sezonu-videodajdzest-seasonvar-6x53-vypusk-307,Выпуск 307,6,53.0,regular,2020-12-31,,2020-12-31T00:00:00+00:00,9.0,{'average': None},,,{'self': {'href': 'https://api.tvmaze.com/episodes/2015818'}},"{'show': {'id': 7847, 'url': 'https://www.tvmaze.com/shows/7847/po-sezonu-videodajdzest-seasonvar', 'name': 'По сезону. Видеодайджест Seasonvar', 'type': 'Talk Show', 'language': 'Russian', 'genres': [], 'status': 'Running', 'runtime': 9, 'averageRuntime': 9, 'premiered': '2015-02-13', 'ended': None, 'officialSite': 'http://seasonvar.ru/serial-11488-Po_sezonu_Videodajdzhest_Seasonvar.html', 'schedule': {'time': '', 'days': ['Friday']}, 'rating': {'average': None}, 'weight': 28, 'network': None, 'webChannel': {'id': 56, 'name': 'Seasonvar', 'country': {'name': 'Russian Federation', 'code': 'RU', 'timezone': 'Asia/Kamchatka'}, 'officialSite': None}, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': None, 'imdb': None}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/294/735323.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/294/735323.jpg'}, 'summary': '<p>Weekly videodaydzhest on site seasonvar.ru and creative team viruseproject.tv. In ten minutes, we talk about the most important events of the past week: look down on the set is not yet published projects, sharing the secrets of private life actors consider the prospects for the development of genres and discuss news TV industry! In videodaydzheste you will find only reliable information from Russian and foreign publications, as well as take part in choosing the best show of the month! Our weekly news videodaydzhest will suit every viewer, so gather good company with family and friends, as well as stock up on popcorn - these ten minutes you shock, delight and inform the latest news about your favorite TV projects!</p>', 'updated': 1651181655, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/7847'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/2303579'}, 'nextepisode': {'href': 'https://api.tvmaze.com/episodes/2303580'}}}}"
1964000,https://www.tvmaze.com/episodes/1964000/257-pricin-ctoby-zit-2x10-seria-23,Серия 23,2,10.0,regular,2020-12-31,,2020-12-31T00:00:00+00:00,25.0,{'average': None},,,{'self': {'href': 'https://api.tvmaze.com/episodes/1964000'}},"{'show': {'id': 43722, 'url': 'https://www.tvmaze.com/shows/43722/257-pricin-ctoby-zit', 'name': '257 причин, чтобы жить', 'type': 'Scripted', 'language': 'Russian', 'genres': ['Drama', 'Comedy'], 'status': 'Ended', 'runtime': 25, 'averageRuntime': 24, 'premiered': '2020-03-26', 'ended': '2021-01-21', 'officialSite': 'https://start.ru/watch/257-prichin-chtoby-zhit', 'schedule': {'time': '', 'days': ['Thursday']}, 'rating': {'average': None}, 'weight': 38, 'network': None, 'webChannel': {'id': 245, 'name': 'Start', 'country': {'name': 'Russian Federation', 'code': 'RU', 'timezone': 'Asia/Kamchatka'}, 'officialSite': None}, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': 377678, 'imdb': 'tt11477416'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/260/651809.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/260/651809.jpg'}, 'summary': ""<p>When terminal cancer patient Zhenya unexpectedly receives a clean bill of health, she can't believe it. She's in remission. But then her life implodes. Homeless, unemployed, and newly single - she stumbles across a list she wrote while she was sick of things she wanted to do when she got better. 257 of them - and now she won't give up until she checks off them all!</p>"", 'updated': 1617283904, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/43722'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/1964003'}}}}"
1995405,https://www.tvmaze.com/episodes/1995405/proekt-anna-nikolaevna-s02-special-nacalo,Начало,2,,significant_special,2020-12-31,,2020-12-31T00:00:00+00:00,67.0,{'average': None},"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/291/728529.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/291/728529.jpg'}",,{'self': {'href': 'https://api.tvmaze.com/episodes/1995405'}},"{'show': {'id': 46688, 'url': 'https://www.tvmaze.com/shows/46688/proekt-anna-nikolaevna', 'name': 'Проект ""Анна Николаевна""', 'type': 'Scripted', 'language': 'Russian', 'genres': ['Drama', 'Comedy', 'Science-Fiction'], 'status': 'To Be Determined', 'runtime': 50, 'averageRuntime': 50, 'premiered': '2020-03-26', 'ended': None, 'officialSite': 'https://hd.kinopoisk.ru/film/48ec62883cb1bfc8a65154fcd3749b72', 'schedule': {'time': '00:00', 'days': ['Thursday']}, 'rating': {'average': None}, 'weight': 40, 'network': None, 'webChannel': {'id': 381, 'name': 'КиноПоиск HD', 'country': {'name': 'Russian Federation', 'code': 'RU', 'timezone': 'Asia/Kamchatka'}, 'officialSite': None}, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': None, 'imdb': None}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/355/889716.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/355/889716.jpg'}, 'summary': None, 'updated': 1649796479, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/46688'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/2166184'}}}}"
2007760,https://www.tvmaze.com/episodes/2007760/stand-up-autsajd-1x12-aroslav-kondrasov,Ярослав Кондрашов,1,12.0,regular,2020-12-31,12:00,2020-12-31T00:00:00+00:00,17.0,{'average': None},,,{'self': {'href': 'https://api.tvmaze.com/episodes/2007760'}},"{'show': {'id': 51065, 'url': 'https://www.tvmaze.com/shows/51065/stand-up-autsajd', 'name': 'Stand Up Аутсайд', 'type': 'Variety', 'language': 'Russian', 'genres': [], 'status': 'Ended', 'runtime': 40, 'averageRuntime': 28, 'premiered': '2020-10-13', 'ended': '2020-12-31', 'officialSite': 'https://premier.one/show/13734', 'schedule': {'time': '', 'days': ['Monday']}, 'rating': {'average': None}, 'weight': 3, 'network': None, 'webChannel': {'id': 21, 'name': 'YouTube', 'country': None, 'officialSite': 'https://www.youtube.com'}, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': None, 'imdb': None}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/277/693293.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/277/693293.jpg'}, 'summary': '<p>Solo performances of stand-up comedians from the underground and popular TV and Internet projects. Each new release is a new concert with its own atmosphere and humor.</p>', 'updated': 1616719192, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/51065'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/2007760'}}}}"
1985789,https://www.tvmaze.com/episodes/1985789/theres-a-pit-in-my-senior-martial-brothers-brain-2x11-episode-11,Episode 11,2,11.0,regular,2020-12-31,11:00,2020-12-31T03:00:00+00:00,20.0,{'average': None},,,{'self': {'href': 'https://api.tvmaze.com/episodes/1985789'}},"{'show': {'id': 38031, 'url': 'https://www.tvmaze.com/shows/38031/theres-a-pit-in-my-senior-martial-brothers-brain', 'name': ""There's a Pit in My Senior Martial Brother's Brain"", 'type': 'Animation', 'language': 'Chinese', 'genres': ['Comedy', 'Action', 'Adventure', 'Anime'], 'status': 'Running', 'runtime': 20, 'averageRuntime': 10, 'premiered': '2018-04-04', 'ended': None, 'officialSite': 'https://www.bilibili.com/bangumi/media/md17632/', 'schedule': {'time': '11:00', 'days': ['Thursday']}, 'rating': {'average': None}, 'weight': 23, 'network': None, 'webChannel': {'id': 51, 'name': 'Bilibili', 'country': {'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}, 'officialSite': None}, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': None, 'imdb': None}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/288/722315.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/288/722315.jpg'}, 'summary': None, 'updated': 1607964656, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/38031'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/1985791'}}}}"
2039622,https://www.tvmaze.com/episodes/2039622/witches-1x05-episode-5,Episode 5,1,5.0,regular,2020-12-31,,2020-12-31T03:00:00+00:00,30.0,{'average': None},,,{'self': {'href': 'https://api.tvmaze.com/episodes/2039622'}},"{'show': {'id': 53830, 'url': 'https://www.tvmaze.com/shows/53830/witches', 'name': 'Witches', 'type': 'Variety', 'language': 'Korean', 'genres': ['Sports'], 'status': 'Ended', 'runtime': 30, 'averageRuntime': 30, 'premiered': '2020-12-17', 'ended': '2021-01-14', 'officialSite': 'https://www.wavve.com/player/vod?programid=C9901_C99000000047&page=1', 'schedule': {'time': '', 'days': []}, 'rating': {'average': None}, 'weight': 15, 'network': None, 'webChannel': {'id': 114, 'name': 'wavve', 'country': {'name': 'Korea, Republic of', 'code': 'KR', 'timezone': 'Asia/Seoul'}, 'officialSite': 'https://www.wavve.com/'}, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': 394090, 'imdb': None}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/298/745480.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/298/745480.jpg'}, 'summary': '<p>Yoon Bo Mi of Apink Comedian Kim Min Kyoung, the former rhythmic gymnast Shin Soo Ji, Cheerleader Park Ki Ryang, Anchorwoman Park Ji Young, and Actress Kang So Yeon are huge fans of baseball. They come together to actually try playing baseball themselves instead of just watching it. Although they all work in different industries, they unite thanks to their mutual love of the sport. Together, they strive to compete against other amateur teams. Will their earnest desire to work together and their ambition to win make all the difference? How will they grow together as a team?</p>', 'updated': 1614461893, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/53830'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/2039627'}}}}"
2039623,https://www.tvmaze.com/episodes/2039623/witches-1x06-episode-6,Episode 6,1,6.0,regular,2020-12-31,,2020-12-31T03:00:00+00:00,30.0,{'average': None},,,{'self': {'href': 'https://api.tvmaze.com/episodes/2039623'}},"{'show': {'id': 53830, 'url': 'https://www.tvmaze.com/shows/53830/witches', 'name': 'Witches', 'type': 'Variety', 'language': 'Korean', 'genres': ['Sports'], 'status': 'Ended', 'runtime': 30, 'averageRuntime': 30, 'premiered': '2020-12-17', 'ended': '2021-01-14', 'officialSite': 'https://www.wavve.com/player/vod?programid=C9901_C99000000047&page=1', 'schedule': {'time': '', 'days': []}, 'rating': {'average': None}, 'weight': 15, 'network': None, 'webChannel': {'id': 114, 'name': 'wavve', 'country': {'name': 'Korea, Republic of', 'code': 'KR', 'timezone': 'Asia/Seoul'}, 'officialSite': 'https://www.wavve.com/'}, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': 394090, 'imdb': None}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/298/745480.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/298/745480.jpg'}, 'summary': '<p>Yoon Bo Mi of Apink Comedian Kim Min Kyoung, the former rhythmic gymnast Shin Soo Ji, Cheerleader Park Ki Ryang, Anchorwoman Park Ji Young, and Actress Kang So Yeon are huge fans of baseball. They come together to actually try playing baseball themselves instead of just watching it. Although they all work in different industries, they unite thanks to their mutual love of the sport. Together, they strive to compete against other amateur teams. Will their earnest desire to work together and their ambition to win make all the difference? How will they grow together as a team?</p>', 'updated': 1614461893, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/53830'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/2039627'}}}}"
2324427,https://www.tvmaze.com/episodes/2324427/unique-lady-2x15-episode-15,Episode 15,2,15.0,regular,2020-12-31,12:00,2020-12-31T04:00:00+00:00,40.0,{'average': None},,,{'self': {'href': 'https://api.tvmaze.com/episodes/2324427'}},"{'show': {'id': 41490, 'url': 'https://www.tvmaze.com/shows/41490/unique-lady', 'name': 'Unique Lady', 'type': 'Scripted', 'language': 'Chinese', 'genres': ['Drama', 'Comedy', 'Romance'], 'status': 'Ended', 'runtime': 38, 'averageRuntime': 42, 'premiered': '2019-01-17', 'ended': '2021-01-07', 'officialSite': 'http://www.iqiyi.com/a_19rrhvpyyp.html', 'schedule': {'time': '', 'days': ['Thursday', 'Friday', 'Saturday']}, 'rating': {'average': None}, 'weight': 68, 'network': None, 'webChannel': {'id': 67, 'name': 'iQIYI', 'country': None, 'officialSite': 'https://www.iq.com/'}, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': 360222, 'imdb': 'tt11939550'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/189/473411.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/189/473411.jpg'}, 'summary': ""<p>Lin Luo Jing accidentally gets drawn into a game world where she is the daughter of the prime minister and meets all kind of beautiful men with different personalities. Among them are a sword deity, an imperial bodyguard, a playful rich man and an arrogant prince. The system informs her that she can only return to the real world after she finds her true love. While there seems tobe an abundance of good men around Luo Jing, there is one man she can't stand at all: the prince of the barbarian Yuan Kingdom Zhong Wu Mei. But out of all men, she ends up in an arranged marriage with Wu Mei.</p><p>Thus begins their love-hate relationship and her journey to find true love in order to win the game.</p>"", 'updated': 1651863266, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/41490'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/2324440'}}}}"
2324428,https://www.tvmaze.com/episodes/2324428/unique-lady-2x16-episode-16,Episode 16,2,16.0,regular,2020-12-31,12:00,2020-12-31T04:00:00+00:00,40.0,{'average': None},,,{'self': {'href': 'https://api.tvmaze.com/episodes/2324428'}},"{'show': {'id': 41490, 'url': 'https://www.tvmaze.com/shows/41490/unique-lady', 'name': 'Unique Lady', 'type': 'Scripted', 'language': 'Chinese', 'genres': ['Drama', 'Comedy', 'Romance'], 'status': 'Ended', 'runtime': 38, 'averageRuntime': 42, 'premiered': '2019-01-17', 'ended': '2021-01-07', 'officialSite': 'http://www.iqiyi.com/a_19rrhvpyyp.html', 'schedule': {'time': '', 'days': ['Thursday', 'Friday', 'Saturday']}, 'rating': {'average': None}, 'weight': 68, 'network': None, 'webChannel': {'id': 67, 'name': 'iQIYI', 'country': None, 'officialSite': 'https://www.iq.com/'}, 'dvdCountry': None, 'externals': {'tvrage': None, 'thetvdb': 360222, 'imdb': 'tt11939550'}, 'image': {'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/189/473411.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/189/473411.jpg'}, 'summary': ""<p>Lin Luo Jing accidentally gets drawn into a game world where she is the daughter of the prime minister and meets all kind of beautiful men with different personalities. Among them are a sword deity, an imperial bodyguard, a playful rich man and an arrogant prince. The system informs her that she can only return to the real world after she finds her true love. While there seems tobe an abundance of good men around Luo Jing, there is one man she can't stand at all: the prince of the barbarian Yuan Kingdom Zhong Wu Mei. But out of all men, she ends up in an arranged marriage with Wu Mei.</p><p>Thus begins their love-hate relationship and her journey to find true love in order to win the game.</p>"", 'updated': 1651863266, '_links': {'self': {'href': 'https://api.tvmaze.com/shows/41490'}, 'previousepisode': {'href': 'https://api.tvmaze.com/episodes/2324440'}}}}"
