id,url,name,season,number,type,airdate,airtime,airstamp,runtime,summary
1977902,https://www.tvmaze.com/episodes/1977902/obycnaa-zensina-2x06-seria-15,Серия 15,2,6.0,regular,2020-12-31,10:00,2020-12-30T22:00:00+00:00,56.0,
2015818,https://www.tvmaze.com/episodes/2015818/po-sezonu-videodajdzest-seasonvar-6x53-vypusk-307,Выпуск 307,6,53.0,regular,2020-12-31,,2020-12-31T00:00:00+00:00,9.0,
1964000,https://www.tvmaze.com/episodes/1964000/257-pricin-ctoby-zit-2x10-seria-23,Серия 23,2,10.0,regular,2020-12-31,,2020-12-31T00:00:00+00:00,25.0,
1995405,https://www.tvmaze.com/episodes/1995405/proekt-anna-nikolaevna-s02-special-nacalo,Начало,2,,significant_special,2020-12-31,,2020-12-31T00:00:00+00:00,67.0,
2007760,https://www.tvmaze.com/episodes/2007760/stand-up-autsajd-1x12-aroslav-kondrasov,Ярослав Кондрашов,1,12.0,regular,2020-12-31,12:00,2020-12-31T00:00:00+00:00,17.0,
1985789,https://www.tvmaze.com/episodes/1985789/theres-a-pit-in-my-senior-martial-brothers-brain-2x11-episode-11,Episode 11,2,11.0,regular,2020-12-31,11:00,2020-12-31T03:00:00+00:00,20.0,
2039622,https://www.tvmaze.com/episodes/2039622/witches-1x05-episode-5,Episode 5,1,5.0,regular,2020-12-31,,2020-12-31T03:00:00+00:00,30.0,
2039623,https://www.tvmaze.com/episodes/2039623/witches-1x06-episode-6,Episode 6,1,6.0,regular,2020-12-31,,2020-12-31T03:00:00+00:00,30.0,
2324427,https://www.tvmaze.com/episodes/2324427/unique-lady-2x15-episode-15,Episode 15,2,15.0,regular,2020-12-31,12:00,2020-12-31T04:00:00+00:00,40.0,
2324428,https://www.tvmaze.com/episodes/2324428/unique-lady-2x16-episode-16,Episode 16,2,16.0,regular,2020-12-31,12:00,2020-12-31T04:00:00+00:00,40.0,
2324429,https://www.tvmaze.com/episodes/2324429/unique-lady-2x17-episode-17,Episode 17,2,17.0,regular,2020-12-31,12:00,2020-12-31T04:00:00+00:00,40.0,
2324430,https://www.tvmaze.com/episodes/2324430/unique-lady-2x18-episode-18,Episode 18,2,18.0,regular,2020-12-31,12:00,2020-12-31T04:00:00+00:00,40.0,
2324432,https://www.tvmaze.com/episodes/2324432/unique-lady-2x19-episode-19,Episode 19,2,19.0,regular,2020-12-31,12:00,2020-12-31T04:00:00+00:00,40.0,
2324433,https://www.tvmaze.com/episodes/2324433/unique-lady-2x20-episode-20,Episode 20,2,20.0,regular,2020-12-31,12:00,2020-12-31T04:00:00+00:00,40.0,
1972579,https://www.tvmaze.com/episodes/1972579/the-wolf-1x37-episode-37,Episode 37,1,37.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,45.0,
1972580,https://www.tvmaze.com/episodes/1972580/the-wolf-1x38-episode-38,Episode 38,1,38.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,45.0,
1994248,https://www.tvmaze.com/episodes/1994248/a-love-so-romantic-1x07-episode-7,Episode 7,1,7.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,45.0,
1994249,https://www.tvmaze.com/episodes/1994249/a-love-so-romantic-1x08-episode-8,Episode 8,1,8.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,45.0,
1998607,https://www.tvmaze.com/episodes/1998607/unique-lady-2-1x15-episode-15,Episode 15,1,15.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,45.0,
1998609,https://www.tvmaze.com/episodes/1998609/unique-lady-2-1x16-episode-16,Episode 16,1,16.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,45.0,
1998610,https://www.tvmaze.com/episodes/1998610/unique-lady-2-1x17-episode-17,Episode 17,1,17.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,45.0,
1998611,https://www.tvmaze.com/episodes/1998611/unique-lady-2-1x18-episode-18,Episode 18,1,18.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,45.0,
1998613,https://www.tvmaze.com/episodes/1998613/unique-lady-2-1x19-episode-19,Episode 19,1,19.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,45.0,
1998615,https://www.tvmaze.com/episodes/1998615/unique-lady-2-1x20-episode-20,Episode 20,1,20.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,45.0,
2005761,https://www.tvmaze.com/episodes/2005761/legend-of-yun-qian-1x14-episode-14,Episode 14,1,14.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,4.0,
2005762,https://www.tvmaze.com/episodes/2005762/legend-of-yun-qian-1x15-episode-15,Episode 15,1,15.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,4.0,
2013871,https://www.tvmaze.com/episodes/2013871/kl-gangster-underworld-2x07-episode-7,Episode 7,2,7.0,regular,2020-12-31,12:00,2020-12-31T04:00:00+00:00,45.0,
2065447,https://www.tvmaze.com/episodes/2065447/the-wonderland-of-ten-thousands-4x34-episode-34-162,Episode 34 (162),4,34.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,10.0,
2090654,https://www.tvmaze.com/episodes/2090654/lord-xue-ying-2x01-reunited-with-family,Reunited with Family,2,1.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,20.0,
2090655,https://www.tvmaze.com/episodes/2090655/lord-xue-ying-2x02-the-end-of-the-noble-family,The End of the Noble Family,2,2.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,20.0,
2169203,https://www.tvmaze.com/episodes/2169203/i-am-a-great-god-1x09-episode-9,Episode 9,1,9.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,20.0,
2312223,https://www.tvmaze.com/episodes/2312223/unsolved-cases-of-kung-fu-portrait-of-beauty-1x07-episode-7,Episode 7,1,7.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,30.0,
2312224,https://www.tvmaze.com/episodes/2312224/unsolved-cases-of-kung-fu-portrait-of-beauty-1x08-episode-8,Episode 8,1,8.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,30.0,
2312225,https://www.tvmaze.com/episodes/2312225/unsolved-cases-of-kung-fu-portrait-of-beauty-1x09-episode-9,Episode 9,1,9.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,30.0,
2312226,https://www.tvmaze.com/episodes/2312226/unsolved-cases-of-kung-fu-portrait-of-beauty-1x10-episode-10,Episode 10,1,10.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,30.0,
2312227,https://www.tvmaze.com/episodes/2312227/unsolved-cases-of-kung-fu-portrait-of-beauty-1x11-episode-11,Episode 11,1,11.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,30.0,
2312228,https://www.tvmaze.com/episodes/2312228/unsolved-cases-of-kung-fu-portrait-of-beauty-1x12-episode-12,Episode 12,1,12.0,regular,2020-12-31,,2020-12-31T04:00:00+00:00,30.0,
2087588,https://www.tvmaze.com/episodes/2087588/klassen-4x04-the-librarian,The librarian,4,4.0,regular,2020-12-31,06:00,2020-12-31T05:00:00+00:00,10.0,
2006091,https://www.tvmaze.com/episodes/2006091/nocnoj-kontakt-s05-special-novyj-god-v-vk-haus,Новый Год в VK Хаус,5,,insignificant_special,2020-12-31,19:00,2020-12-31T07:00:00+00:00,213.0,
1995507,https://www.tvmaze.com/episodes/1995507/a-love-so-beautiful-1x02-at-the-karaoke,At the Karaoke,1,2.0,regular,2020-12-31,17:00,2020-12-31T08:00:00+00:00,22.0,
2008312,https://www.tvmaze.com/episodes/2008312/studia-souz-4x14-vypusk-116-aleksej-serbakov-vs-aleksandr-gudkov-ng,Выпуск 116. Алексей Щербаков vs Александр Гудков (НГ),4,14.0,regular,2020-12-31,21:00,2020-12-31T09:00:00+00:00,45.0,
2015837,https://www.tvmaze.com/episodes/2015837/aynen-aynen-s05-special-yilbasi-ozel,Yılbaşı Özel,5,,significant_special,2020-12-31,,2020-12-31T09:00:00+00:00,5.0,
1996819,https://www.tvmaze.com/episodes/1996819/cuma-s02-special-cumovoj-novyj-god-glava-1-tragedia,Чумовой Новый Год! _ Глава 1. Трагедия,2,,insignificant_special,2020-12-31,21:00,2020-12-31T09:00:00+00:00,45.0,
2037724,https://www.tvmaze.com/episodes/2037724/aile-sirketi-2x06-6-bolum,6. Bölum,2,6.0,regular,2020-12-31,,2020-12-31T09:00:00+00:00,19.0,
