_embedded_show_schedule_time,_embedded_show_schedule_days
,['Friday']
,['Friday']
,['Monday']
12:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,['Friday']
,[]
,[]
,['Friday']
,"['Thursday', 'Friday', 'Saturday']"
,"['Thursday', 'Friday', 'Saturday']"
12:00,"['Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Tuesday', 'Friday']"
10:00,"['Monday', 'Friday']"
06:00,['Friday']
06:00,['Friday']
06:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
00:00,"['Friday', 'Saturday', 'Sunday']"
,[]
19:00,"['Thursday', 'Friday']"
,['Saturday']
,['Saturday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
12:00,['Friday']
20:00,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,[]
,[]
,[]
,[]
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,[]
,['Thursday']
,[]
,['Friday']
,['Wednesday']
,['Thursday']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Friday']
,[]
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Tuesday']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Friday']
,['Saturday']
,['Monday']
,[]
,['Wednesday']
,['Wednesday']
,['Friday']
,[]
,[]
20:00,['Friday']
,['Friday']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Friday']
,['Friday']
,['Friday']
,['Friday']
12:00,['Friday']
,['Friday']
,"['Tuesday', 'Friday']"
,['Friday']
,['Friday']
20:00,"['Wednesday', 'Thursday', 'Friday']"
20:00,"['Wednesday', 'Thursday', 'Friday']"
20:00,['Friday']
20:00,['Friday']
20:00,['Friday']
20:00,['Friday']
20:00,['Friday']
20:00,['Friday']
,['Friday']
,['Friday']
,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Thursday', 'Friday', 'Saturday']"
,"['Thursday', 'Friday', 'Saturday']"
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Friday']
,['Friday']
,['Friday']
,['Friday']
,[]
,[]
,[]
,[]
,[]
,['Thursday']
,[]
,[]
,['Friday']
21:00,"['Wednesday', 'Thursday', 'Friday']"
,[]
,[]
00:00,"['Monday', 'Wednesday', 'Friday']"
,['Thursday']
,['Friday']
18:00,['Saturday']
,['Friday']
21:00,['Friday']
21:00,['Friday']
22:00,['Friday']
