_embedded_show_network_id,_embedded_show_network_name,_embedded_show_network_officialSite
239,Россия 1,
114,ABC,
8,HBO,https://www.hbo.com/
1320,UA:Перший,
374,TV Globo,
132,Tokyo MX,
91,NRK1,
