_embedded_show_webChannel_id,_embedded_show_webChannel_name,_embedded_show_webChannel_officialSite
281,Premier,
104,Tencent QQ,https://v.qq.com/
104,Tencent QQ,https://v.qq.com/
104,Tencent QQ,https://v.qq.com/
51,Bilibili,
118,Youku,
118,Youku,
238,NRK TV,
238,NRK TV,
238,NRK TV,
238,NRK TV,
238,NRK TV,
238,NRK TV,
238,NRK TV,
238,NRK TV,
294,Kakao TV,https://tv.kakao.com/top
327,TV 2 Play,
327,TV 2 Play,
377,ATRESplayer PREMIUM,
327,TV 2 Play,
21,YouTube,https://www.youtube.com
21,YouTube,https://www.youtube.com
21,YouTube,https://www.youtube.com
21,YouTube,https://www.youtube.com
103,Viaplay,https://viaplay.com
321,StardomWorld,
21,YouTube,https://www.youtube.com
22,HBO Go,
21,YouTube,https://www.youtube.com
173,discovery+,https://www.discoveryplus.com/
443,Planetscum,
67,iQIYI,https://www.iq.com/
67,iQIYI,https://www.iq.com/
226,Mango TV,https://w.mgtv.com/
226,Mango TV,https://w.mgtv.com/
21,YouTube,https://www.youtube.com
3,Prime Video,https://www.primevideo.com
304,twitch,
107,Paramount+,https://www.paramountplus.com/
379,Shahid,
131,Globoplay,
15,WWE Network,
32,Rooster Teeth,
265,ESPN+,
238,NRK TV,
347,Peacock,https://www.peacocktv.com/
45,UFC Fight Pass,
331,Zeus,
