_embedded_show_webChannel_id,_embedded_show_webChannel_name,_embedded_show_webChannel_officialSite
281,Premier,
104,Tencent QQ,https://v.qq.com/
104,Tencent QQ,https://v.qq.com/
104,Tencent QQ,https://v.qq.com/
408,DDTUniverse,
51,Bilibili,
238,NRK TV,
238,NRK TV,
294,Kakao TV,https://tv.kakao.com/top
160,NJPW World,
12,Videoland,https://www.videoland.com/
12,Videoland,https://www.videoland.com/
12,Videoland,https://www.videoland.com/
12,Videoland,https://www.videoland.com/
12,Videoland,https://www.videoland.com/
12,Videoland,https://www.videoland.com/
12,Videoland,https://www.videoland.com/
12,Videoland,https://www.videoland.com/
327,TV 2 Play,
377,ATRESplayer PREMIUM,
190,SVT Play,
170,C More,
170,C More,
327,TV 2 Play,
21,YouTube,https://www.youtube.com
21,YouTube,https://www.youtube.com
103,Viaplay,https://viaplay.com
321,StardomWorld,
21,YouTube,https://www.youtube.com
22,HBO Go,
21,YouTube,https://www.youtube.com
21,YouTube,https://www.youtube.com
21,YouTube,https://www.youtube.com
173,discovery+,https://www.discoveryplus.com/
173,discovery+,https://www.discoveryplus.com/
173,discovery+,https://www.discoveryplus.com/
443,Planetscum,
21,YouTube,https://www.youtube.com
379,Shahid,
3,Prime Video,https://www.primevideo.com
21,YouTube,https://www.youtube.com
21,YouTube,https://www.youtube.com
304,twitch,
107,Paramount+,https://www.paramountplus.com/
379,Shahid,
131,Globoplay,
15,WWE Network,
32,Rooster Teeth,
83,DisneyNOW,
83,DisneyNOW,
265,ESPN+,
238,NRK TV,
15,WWE Network,
331,Zeus,
