_embedded_show_network_id,_embedded_show_network_name,_embedded_show_network_officialSite
304,СТС,
1075,ЦТ СССР,
1262,One31,
514,ТВ-3,
1808,MBC Masr,
276,Hunan TV,
276,Hunan TV,
374,TV Globo,
112,RTL4,
106,France 2,
