_embedded_show_webChannel_id,_embedded_show_webChannel_name,_embedded_show_webChannel_officialSite
122,V LIVE,https://www.vlive.tv/home
56,Seasonvar,
104,Tencent QQ,https://v.qq.com/
51,Bilibili,
118,Youku,
118,Youku,
238,NRK TV,
238,NRK TV,
238,NRK TV,
238,NRK TV,
54,ITV Hub,
452,Aitube.kz,
294,Kakao TV,https://tv.kakao.com/top
240,Melon,https://www.melon.com/tv/index.htm
30,Naver TVCast,https://tv.naver.com/
160,NJPW World,
238,NRK TV,
238,NRK TV,
238,NRK TV,
238,NRK TV,
238,NRK TV,
238,NRK TV,
238,NRK TV,
238,NRK TV,
238,NRK TV,
238,NRK TV,
327,TV 2 Play,
21,YouTube,https://www.youtube.com
21,YouTube,https://www.youtube.com
21,YouTube,https://www.youtube.com
21,YouTube,https://www.youtube.com
21,YouTube,https://www.youtube.com
319,FiteTV,
21,YouTube,https://www.youtube.com
1,Netflix,https://www.netflix.com/
1,Netflix,https://www.netflix.com/
88,LINE TV,https://www.linetv.tw/
173,discovery+,https://www.discoveryplus.com/
21,YouTube,https://www.youtube.com
21,YouTube,https://www.youtube.com
21,YouTube,https://www.youtube.com
379,Shahid,
367,WeTV,https://wetv.vip/
342,Paravi,
32,Rooster Teeth,
15,WWE Network,
45,UFC Fight Pass,
20,Crunchyroll,
238,NRK TV,
238,NRK TV,
20,Crunchyroll,
347,Peacock,https://www.peacocktv.com/
265,ESPN+,
