_embedded_show_rating_average
7.3
""
""
""
""
""
""
""
""
""
""
8.1
""
""
""
""
""
""
""
""
""
""
""
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
