_embedded_show_network_country_name,_embedded_show_network_country_code,_embedded_show_network_country_timezone
Russian Federation,RU,Asia/Kamchatka
Russian Federation,RU,Asia/Kamchatka
Thailand,TH,Asia/Bangkok
Russian Federation,RU,Asia/Kamchatka
Egypt,EG,Africa/Cairo
China,CN,Asia/Shanghai
China,CN,Asia/Shanghai
Brazil,BR,America/Noronha
Netherlands,NL,Europe/Amsterdam
France,FR,Europe/Paris
